id,latitude,longitude,zone,parcels
1,41.1482,-8.6103,Praça da Liberdade,4
2,41.1465,-8.6038,Rua de Santa Catarina,6
3,41.1412,-8.6088,Mercado do Bolhão,5
4,41.1445,-8.5948,Estação de São Bento,3
5,41.1380,-8.5872,Estação de Campanhã,7
6,41.1512,-8.6070,Metro Trindade,4
7,41.1490,-8.6175,Ribeira UNESCO,5
8,41.1420,-8.6115,Sé Catedral,3
9,41.1573,-8.6445,Boavista Rotunda,6
10,41.1675,-8.6650,Parque da Cidade,4
11,41.1470,-8.6855,Foz do Douro,3
12,41.2020,-8.6870,Matosinhos Centro,7
13,41.2125,-8.6975,Porto de Leixões,8
14,41.2070,-8.6690,Leça do Balio,4
15,41.2325,-8.6230,Maia Centro,6
16,41.1800,-8.5900,Rio Tinto,5
17,41.1970,-8.5700,Ermesinde,4
18,41.1370,-8.6190,Vila Nova de Gaia,5
19,41.1260,-8.6450,Afurada,3
20,41.1120,-8.6550,Miramar,4
21,41.1050,-8.5850,Valadares,5
22,41.1200,-8.6060,Canidelo,3
23,41.2430,-8.6810,Aeroporto Sá Carneiro,8
24,41.1930,-8.6740,Senhora da Hora,4
25,41.1680,-8.6040,Paranhos,6
26,41.1570,-8.6360,Aldoar,3
27,41.1650,-8.6540,Nevogilde,4
28,41.1600,-8.6260,Ramalde,5
29,41.1500,-8.5965,Massarelos,4
30,41.1750,-8.5980,Arca d'Água,3
